@timestamp,system.auth.ssh.event,system.auth.ssh.method,user.name,source.ip,source.geo.country_iso_code
"Jul 25, 2023 @ 02:36:01.000",0.0.0.0 (34.140.130.61[34.140.130.61]) - USER anonymous: no such,-,found,34.140.130.61,BE
"Jul 25, 2023 @ 01:15:59.000",Failed,password,root,101.42.25.236,CN
"Jul 25, 2023 @ 01:15:57.000",Failed,password,root,101.42.25.236,CN
"Jul 25, 2023 @ 01:15:55.000",Failed,password,root,101.42.25.236,CN
"Jul 25, 2023 @ 01:15:52.000",Failed,password,root,101.42.25.236,CN
"Jul 25, 2023 @ 01:15:49.000",Failed,password,root,101.42.25.236,CN
"Jul 24, 2023 @ 23:18:31.000",Failed,password, anna,165.22.8.159,US
"Jul 24, 2023 @ 23:18:29.000",Invalid,-,anna,165.22.8.159,US
"Jul 24, 2023 @ 23:12:49.000",Failed,password, boris,165.22.8.159,US
"Jul 24, 2023 @ 23:12:47.000",Invalid,-,boris,165.22.8.159,US
"Jul 24, 2023 @ 23:07:07.000",Failed,password,root,165.22.8.159,US
"Jul 24, 2023 @ 22:57:36.000",Invalid,-,wqmarlduiqkmgs,180.167.66.114,CN
"Jul 24, 2023 @ 22:00:35.000",Failed,password,root,218.92.0.56,CN
"Jul 24, 2023 @ 22:00:31.000",Failed,password,root,218.92.0.56,CN
"Jul 24, 2023 @ 22:00:26.000",Failed,password,root,218.92.0.56,CN
"Jul 24, 2023 @ 22:00:24.000",Failed,password,root,218.92.0.56,CN
"Jul 24, 2023 @ 22:00:22.000",Failed,password,root,218.92.0.56,CN
"Jul 24, 2023 @ 21:48:59.000",Failed,password,root,218.92.0.107,CN
"Jul 24, 2023 @ 21:48:56.000",Failed,password,root,218.92.0.107,CN
"Jul 24, 2023 @ 21:48:50.000",Failed,password,root,218.92.0.107,CN
"Jul 24, 2023 @ 21:48:47.000",Failed,password,root,218.92.0.107,CN
"Jul 24, 2023 @ 21:48:43.000",Failed,password,root,218.92.0.107,CN
"Jul 24, 2023 @ 21:13:04.000",Failed,password,root,218.92.0.107,CN
"Jul 24, 2023 @ 21:13:02.000",Failed,password,root,218.92.0.107,CN
"Jul 24, 2023 @ 21:12:55.000",Failed,password,root,218.92.0.107,CN
"Jul 24, 2023 @ 21:12:52.000",Failed,password,root,218.92.0.107,CN
"Jul 24, 2023 @ 21:12:48.000",Failed,password,root,218.92.0.107,CN
"Jul 24, 2023 @ 21:11:06.000",Failed,password,root,61.177.172.185,CN
"Jul 24, 2023 @ 21:11:02.000",Failed,password,root,61.177.172.185,CN
"Jul 24, 2023 @ 21:10:58.000",Failed,password,root,61.177.172.185,CN
"Jul 24, 2023 @ 21:10:55.000",Failed,password,root,61.177.172.185,CN
"Jul 24, 2023 @ 21:10:51.000",Failed,password,root,61.177.172.185,CN
"Jul 24, 2023 @ 21:00:54.000",Failed,password,root,218.92.0.107,CN
"Jul 24, 2023 @ 21:00:51.000",Failed,password,root,218.92.0.107,CN
"Jul 24, 2023 @ 21:00:45.000",Failed,password,root,218.92.0.107,CN
